Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
Andrew Bynum\bynuman01,C,18,LAL,46,0,7.3,0.7,1.8,.402,0.0,0.0,,0.7,1.8,.402,.402,0.2,0.6,.296,0.7,1.0,1.7,0.2,0.1,0.5,0.4,1.2,1.6
Will Bynum\bynumwi01,PG,23,GSW,15,0,10.8,1.4,3.5,.404,0.1,0.6,.222,1.3,2.9,.442,.423,0.7,1.1,.625,0.2,0.6,0.8,1.3,0.5,0.0,0.9,0.7,3.6
Zarko Cabarkapa\cabarza01,PF,24,GSW,61,0,8.3,1.1,2.9,.385,0.1,0.3,.250,1.0,2.5,.403,.399,1.0,1.4,.714,0.6,1.2,1.8,0.3,0.2,0.1,0.6,1.4,3.3
Jose Calderon\caldejo01,SG,24,TOR,64,11,23.2,2.1,4.9,.423,0.1,0.7,.163,2.0,4.2,.465,.434,1.2,1.4,.848,0.5,1.7,2.2,4.5,0.7,0.1,1.6,1.5,5.5
Marcus Camby\cambyma01,C,31,DEN,56,54,33.2,5.4,11.6,.465,0.0,0.2,.091,5.4,11.4,.472,.466,2.0,2.8,.712,2.4,9.6,11.9,2.1,1.4,3.3,1.6,2.8,12.8
Brian Cardinal\cardibr01,PF,28,MEM,36,0,11.2,1.3,3.1,.414,0.4,0.8,.448,0.9,2.3,.402,.473,0.5,0.8,.704,0.3,1.2,1.5,0.9,0.6,0.0,0.8,1.8,3.4
Matt Carroll\carroma01,SG,25,CHA,78,6,16.3,2.5,6.1,.403,0.9,2.4,.389,1.5,3.7,.412,.479,1.8,2.2,.821,0.4,1.6,2.0,0.4,0.6,0.1,0.6,1.5,7.6
Anthony Carter\cartean01,PG,30,MIN,45,8,13.1,1.2,3.0,.387,0.1,0.3,.267,1.1,2.7,.402,.401,0.9,1.2,.727,0.2,1.2,1.4,2.2,0.5,0.2,0.9,1.6,3.3
Vince Carter\cartevi01,SG,29,NJN,79,79,36.8,8.3,19.2,.430,1.6,4.6,.341,6.7,14.6,.459,.471,6.1,7.6,.799,1.7,4.1,5.8,4.3,1.2,0.7,2.7,3.0,24.2
Sam Cassell\cassesa01,PG,36,LAC,78,75,34.0,6.3,14.3,.443,0.9,2.4,.368,5.4,11.8,.459,.475,3.7,4.3,.863,0.5,3.2,3.7,6.3,0.9,0.1,2.2,2.9,17.2
Kelvin Cato\catoke01,C,31,TOT,27,0,12.3,1.3,3.1,.429,0.0,0.0,,1.3,3.1,.429,.429,1.0,1.3,.743,0.7,1.9,2.6,0.1,0.2,0.4,0.7,1.9,3.6
Kelvin Cato\catoke01,C,31,ORL,23,0,13.0,1.3,3.1,.431,0.0,0.0,,1.3,3.1,.431,.431,1.1,1.5,.743,0.8,1.9,2.7,0.1,0.3,0.4,0.7,2.1,3.8
Kelvin Cato\catoke01,C,31,DET,4,0,8.5,1.3,3.0,.417,0.0,0.0,,1.3,3.0,.417,.417,0.0,0.0,,0.3,1.5,1.8,0.5,0.0,0.5,0.5,1.0,2.5
Tyson Chandler\chandty01,C,23,CHI,79,50,26.8,2.0,3.6,.565,0.0,0.0,.000,2.0,3.6,.567,.565,1.2,2.4,.503,3.4,5.7,9.0,1.0,0.5,1.3,1.6,3.8,5.3
Calbert Cheaney\cheanca01,SF,34,GSW,42,0,10.7,1.0,2.6,.389,0.0,0.2,.000,1.0,2.4,.420,.389,0.2,0.2,1.000,0.5,1.0,1.5,0.5,0.3,0.0,0.4,0.9,2.2
Josh Childress\childjo01,SF,22,ATL,74,10,30.4,3.8,6.8,.552,0.4,0.9,.492,3.3,5.9,.560,.583,2.1,2.7,.766,1.8,3.4,5.2,1.8,1.2,0.5,1.4,2.5,10.0
Doug Christie\chrisdo01,SG,35,DAL,7,7,26.4,1.3,3.7,.346,0.0,0.1,.000,1.3,3.6,.360,.346,1.1,1.7,.667,0.3,1.6,1.9,2.0,1.3,0.1,0.9,1.4,3.7
Speedy Claxton\claxtsp01,PG,27,NOK,71,3,28.4,4.3,10.4,.413,0.2,0.9,.270,4.0,9.5,.426,.425,3.5,4.5,.769,0.5,2.2,2.7,4.8,1.5,0.1,2.2,2.5,12.3
Mateen Cleaves\cleavma01,PG,28,SEA,27,0,8.5,0.9,2.6,.352,0.1,0.6,.250,0.8,2.0,.382,.380,0.7,0.9,.792,0.1,0.4,0.5,1.6,0.1,0.1,0.5,1.1,2.7
Jarron Collins\collija03,C,27,UTA,79,41,21.9,1.6,3.5,.461,0.0,0.0,,1.6,3.5,.461,.461,2.0,2.8,.717,1.7,2.5,4.2,1.2,0.5,0.3,0.8,3.2,5.3
Jason Collins\collija04,C,27,NJN,71,70,26.7,1.5,3.7,.397,0.0,0.2,.250,1.4,3.5,.404,.403,0.6,1.2,.512,1.3,3.5,4.8,1.0,0.6,0.6,0.9,3.5,3.6
Nick Collison\collini01,PF,25,SEA,66,27,21.9,3.1,6.0,.525,0.0,0.0,.000,3.1,5.9,.529,.525,1.2,1.7,.699,2.2,3.4,5.6,1.1,0.3,0.5,1.2,3.2,7.5
Brian Cook\cookbr01,PF,25,LAL,81,46,19.0,3.2,6.3,.511,0.4,1.0,.429,2.8,5.3,.527,.546,1.0,1.2,.832,1.1,2.3,3.4,0.9,0.5,0.4,0.8,2.5,7.9
